word,corpus_freq,cooc_with_core,p_w,p_w_given_core,pmi,lift
甘味,4332,3327,0.01342656302302228,0.048101668449816386,1.2760818037027015,3.5825749573690113
淡い,2829,2159,0.008768177929854577,0.031214758696469364,1.269761995018346,3.5600051625534324
甘辛,2897,2149,0.00897893653686416,0.031070178989677007,1.241367034678266,3.4603406385727813
刺激,3759,2642,0.011650611819838584,0.03819795853454009,1.1874233773231986,3.2786225414786254
渋み,7769,5345,0.024079170850844895,0.07727785328051355,1.166060224313831,3.209323683078648
ヨーグルト,2136,1408,0.006620299773124558,0.02035682271636353,1.1232754724430085,3.074909507723968
柑橘,5292,3338,0.016401978651392868,0.04826070612728797,1.07921571479204,2.9423709878557633
ビター,2306,1343,0.007147196290648516,0.019417054622213225,0.9994316314993393,2.716737281669282
フィニッシュ,2207,1250,0.0068403565539728,0.01807246334904433,0.9715495598447165,2.642035280828753
グレープフルーツ,2887,1635,0.008947942624068632,0.023638782060549982,0.9714650394735249,2.641811984462795
程良い,10823,6084,0.033544711818598826,0.08796229361246856,0.9640290108891433,2.6222402531923965
強め,8859,4959,0.027457507345557332,0.07169707659832866,0.9598103518822076,2.6112012170663905
穏やか,12890,6975,0.03995115359343425,0.10084434548766735,0.9259206465614395,2.524191078783782
後口,5213,2798,0.016157126740308204,0.040453401960500825,0.9177895062624266,2.503749745279844
余韻,18146,9595,0.05624155415876322,0.13872422866726428,0.9028321145173323,2.4665788622352482
適度,2391,1254,0.0074106445494104955,0.01813029523176127,0.8946668895396475,2.4465206920771156
苦味,37156,19314,0.11516098238305997,0.27924124569875375,0.8857450918245579,2.4247904100879722
林檎,10131,5142,0.03139993305314836,0.07434288523262875,0.8618822145772637,2.3676128578616398
辛み,12231,6039,0.037908654740209026,0.08731168493190296,0.8343048586256442,2.303212433420726
葡萄,3697,1808,0.011458449560506316,0.026140010988057717,0.8247397178205961,2.2812869097189328
アタック,2748,1343,0.008517127236210809,0.019417054622213225,0.8240726789861036,2.279765710163524
ボディー,3160,1536,0.009794076443386519,0.02220744296330567,0.8186497429317657,2.2674361479280996
絶妙,3193,1539,0.009896356355611757,0.022250816875343377,0.8102120769292034,2.2483847666546475
甘み,57262,27420,0.17747734344974647,0.3964375560246364,0.8036755824825011,2.233736139604149
心地良い,6439,3039,0.019956980449039808,0.04393777289419657,0.7891954011837157,2.2016242891248887
主張,4149,1954,0.012859374418864136,0.028250874707226092,0.7870513480749662,2.1969089465023512
チーズ,2436,1144,0.007550117156990367,0.016539918457045368,0.7842136789150616,2.190683682534871
果実,8030,3749,0.02488811197480815,0.05420293207645375,0.7783447456002107,2.1778643607565806
全体,5100,2371,0.015806895525718748,0.03427984848046728,0.7741114031580945,2.1686642025748797
控えめ,11689,5430,0.03622878466669146,0.07850678078824856,0.773331041125317,2.166972519517809
柔らか,5153,2386,0.01597116326353504,0.034496718040655815,0.7700793901347432,2.1599377247252773
